"BehaviorSpace results (NetLogo 6.2.0)"
"main.nlogo"
"experiment"
"11/10/2021 13:11:34:965 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10"
"starting_food","10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",
"reproduction_chance","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",
"max_waste","5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",
"food_energy_amount","26",,"26",,"26",,"26",,"26",,"26",,"26",,"26",,"26",,"26",
"num_cleaners","0",,"0",,"0",,"0",,"0",,"50",,"50",,"50",,"50",,"50",
"starting_energy","100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",
"show_energy","true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",
"starting_normal_waste","13",,"13",,"13",,"13",,"13",,"13",,"13",,"13",,"13",,"13",
"reproduce_gluttons","true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",
"show_waste","false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",
"starting_toxic_waste","12",,"12",,"12",,"12",,"12",,"12",,"12",,"12",,"12",,"12",
"n_deposits","10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",
"infinite_ticks","false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",
"ticks_end","10000",,"10000",,"10000",,"10000",,"10000",,"10000",,"10000",,"10000",,"10000",,"10000",
"reproduce_cleaners","false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",
"num_gluttons","30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",
"[reporter]","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners"
"[final]","1","0","1","0","1","0","1","0","1","0","124","10","131","3","256","6","84","6","269","13"
"[min]","1","0","1","0","1","0","1","0","1","0","30","10","30","3","30","6","16","6","28","13"
"[max]","39","0","33","0","39","0","39","0","43","0","186","50","347","50","413","50","199","50","412","50"
"[mean]","14.417721518987342","0","15.10727969348659","0","14.314666666666668","0","18.119266055045873","0","11.853312302839116","0","115.123","12.9246","181.3042","8.5837","206.815","12.3948","75.9686","8.9041","229.3415","14.6069"
"[steps]","789","789","521","521","374","374","326","326","633","633","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999"

"[all run data]","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners"
,"30","0","30","0","30","0","30","0","30","0","30","50","30","50","30","50","30","50","30","50"
,"31","0","30","0","30","0","30","0","32","0","31","50","30","50","30","50","30","50","31","50"
,"33","0","30","0","30","0","30","0","32","0","32","50","30","50","30","50","30","50","31","50"
,"33","0","30","0","30","0","30","0","32","0","32","50","30","50","30","50","30","50","31","50"
,"33","0","31","0","30","0","30","0","32","0","32","50","30","50","31","50","30","50","31","50"
,"33","0","31","0","30","0","30","0","32","0","32","50","31","50","31","50","30","50","31","50"
,"33","0","31","0","31","0","30","0","32","0","32","50","32","50","32","50","30","50","31","50"
,"33","0","31","0","31","0","32","0","32","0","32","50","32","50","33","50","30","50","31","50"
,"33","0","31","0","32","0","32","0","33","0","33","50","32","50","34","50","30","50","31","50"
,"33","0","31","0","33","0","33","0","33","0","34","50","34","50","35","50","31","50","32","50"
,"33","0","31","0","34","0","33","0","33","0","34","50","34","50","35","50","31","50","32","50"
,"33","0","31","0","34","0","34","0","33","0","35","50","34","50","35","50","31","50","32","50"
,"33","0","31","0","34","0","34","0","34","0","35","50","35","50","35","50","31","50","33","50"
,"33","0","31","0","34","0","35","0","35","0","36","50","35","50","35","50","31","50","34","50"
,"33","0","31","0","34","0","35","0","35","0","38","50","35","50","35","50","31","50","37","50"
,"33","0","32","0","34","0","35","0","36","0","38","50","35","50","35","50","31","50","37","50"
,"34","0","32","0","34","0","36","0","36","0","38","50","36","50","35","50","31","50","37","50"
,"34","0","32","0","35","0","36","0","36","0","38","50","37","50","35","50","32","50","37","50"
,"34","0","33","0","35","0","36","0","36","0","38","50","37","50","37","50","32","50","38","50"
,"34","0","33","0","36","0","36","0","38","0","39","50","37","50","38","50","32","50","39","50"
,"35","0","33","0","36","0","36","0","40","0","40","50","37","50","38","50","32","50","40","50"
,"36","0","33","0","36","0","36","0","40","0","40","50","37","50","38","50","32","50","41","50"
,"37","0","33","0","38","0","37","0","40","0","42","50","37","50","39","50","32","50","41","50"
,"37","0","33","0","38","0","37","0","41","0","43","50","38","50","39","50","32","50","41","50"
,"37","0","33","0","37","0","36","0","42","0","43","50","38","50","40","50","32","50","42","50"
,"37","0","33","0","38","0","36","0","43","0","43","50","38","50","42","50","32","50","43","50"
,"37","0","33","0","38","0","36","0","43","0","44","50","39","50","42","50","32","50","42","50"
,"37","0","33","0","38","0","37","0","43","0","44","50","40","50","42","50","32","50","42","50"
,"37","0","33","0","38","0","37","0","42","0","43","50","40","50","42","50","32","50","40","50"
,"38","0","33","0","39","0","37","0","42","0","42","50","40","50","43","50","32","50","41","50"
,"38","0","33","0","38","0","37","0","43","0","42","50","41","50","43","50","31","50","40","50"
,"38","0","32","0","39","0","38","0","43","0","43","50","42","50","42","50","31","50","39","50"
,"38","0","33","0","39","0","38","0","43","0","43","50","42","50","42","50","31","50","38","50"
,"38","0","33","0","38","0","38","0","43","0","43","50","44","50","42","50","32","50","38","50"
,"38","0","33","0","39","0","39","0","41","0","43","50","44","50","42","50","31","50","38","50"
,"37","0","33","0","39","0","38","0","41","0","43","50","44","50","41","50","31","50","38","50"
,"37","0","32","0","39","0","38","0","41","0","43","50","44","50","41","50","31","50","38","50"
,"37","0","31","0","39","0","37","0","41","0","43","50","46","50","40","50","31","50","37","50"
,"37","0","31","0","38","0","37","0","41","0","43","49","46","50","40","50","31","50","36","50"
,"37","0","31","0","38","0","37","0","41","0","42","49","46","50","40","50","31","50","36","50"
,"39","0","31","0","38","0","37","0","41","0","43","49","45","50","40","50","31","50","35","50"
,"38","0","32","0","38","0","37","0","41","0","44","49","44","50","39","50","31","50","35","50"
,"39","0","32","0","38","0","37","0","41","0","46","49","45","50","39","50","31","50","34","50"
,"38","0","32","0","37","0","37","0","41","0","46","49","46","50","40","50","30","50","37","50"
,"38","0","32","0","37","0","36","0","40","0","46","49","46","50","40","49","30","50","37","50"
,"37","0","32","0","38","0","35","0","40","0","46","49","45","50","40","49","29","49","38","50"
